Name,Species
Charybdis crabs nei,Crab
Pacific saury,Pacific saury
Tuna-like fishes nei,Tuna-like fishes
Aquatic invertebrates nei,Unspecified crustaceans and mollusc
Kuruma prawn,Shrimps and prawns
Tilefishes nei,Tilefishes nei
Cephalopods nei,Unspecified cephalopod
River and lake turtles nei,Freshwater turtles
Japanese jack mackerel,Jack and horse mackerel
Antarctic krill,Antarctic krill
Cobia,Cobia
Skipjack tuna,Tuna
Chilean jack mackerel,Jack and horse mackerel
Rainbow trout,Trout
Asian clam,"Clams, cockles, and arkshells"
Chinese longsnout catfish,Catfish
Tiger pufferfish,Puffer fish
Amberjacks nei,Unspecified Amberjack
Clearhead icefish,Clearhead icefish
Pen shells nei,Unspecified pen shell
"Freshwater prawns, shrimps nei",Shrimps and prawns
Pacific herring,Herring
Salmonoids nei,unspecified salmonoids
Albacore,Tuna
Bigeye tuna,Tuna
Pond smelt,Smelt
Yellowfin tuna,Tuna
Righteye flounders nei,Flatfish
Sea urchins nei,Sea urchins
Obscure pufferfish,Puffer fish
Atlantic chub mackerel,Mackerel
Swordfish,Swordfish
Jack and horse mackerels nei,Jack and horse mackerel
Blue marlin,Marlin
Sardinellas nei,Sardines
Blue shark,Sharks
"Hairtails, scabbardfishes nei",Hairtails
Striped marlin,Marlin
Shortfin mako,Sharks
Flatfishes nei,Flatfish
Oceanic whitetip shark,Sharks
Atlantic bluefin tuna,Tuna
Black marlin,Marlin
Mackerel icefish,Icefish
Atlantic sailfish,Atlantic sailfish
European anchovy,Anchovy
Antarctic silverfish,Antarctic silverfish
Marbled rockcod,Marbled rockcod
Gadiformes nei,Gadiformes 
South Georgia icefish,Icefish
Salps,Unspecified crustaceans and mollusc
European pilchard(=Sardine),Sardines
Atlantic white marlin,Marlin
"Rays, stingrays, mantas nei",Unspecified manta and rays
Longbill spearfish,Marlin
Indo-Pacific sailfish,Sailfish
"Marlins,sailfishes,etc. nei",Marlin
Oreo dories nei,Oreo Dory
Southern bluefin tuna,Tuna
Shortspine African angler,Angler
Orange roughy,Orange Roughy
Alfonsinos nei,Alfosinos
"Snappers, jobfishes nei",Snappers
"Sharks, rays, skates, etc. nei",Sharks
Cardinal fishes nei,Unspecified Cardinal fish
"Swimming crabs, etc. nei",Crab
Freshwater crustaceans nei,Unspecified crustaceans and mollusc
Flagfin mojarra,Flagfin mojarra
"Grunts, sweetlips nei",Grunts/sweetlips
West African ilisha,Long-fin herring
Marine crustaceans nei,Unspecified crustaceans and mollusc
Ocellated icefish,Icefish
Mud carp,Carp
Painted notie,Painted notie
Carangids nei,Carangids
Cunene horse mackerel,Jack and horse mackerel
Alaska pollock(=Walleye poll.),Alaska pollock
Benguela hake,Hake
Hakes nei,Hake
Barracudas nei,Barracudas
"Threadfins, tasselfishes nei",Threadfins
West African goatfish,Goatfish
Sea catfishes nei,Catfish
African sicklefish,African sicklefish
Pelagic armourhead,Pelagic armourhead
